岗位名称,薪资,工作地点,工作经验,学历要求,企业,岗位需求,公司类型,岗位需求人数,企业服务
数据分析师,1万-1.2万,西安·长安·兴隆,经验不限,本科,上海柏巨电子科技有限公司,"数据治理, 数据挖掘, 数据仓库",民营,20-99人,电子/半导体/集成电路
数据分析师,面议,西安·雁塔·鱼化寨,1-3年,本科,中软国际,"数据挖掘, Python, Sql",上市公司,10000人以上,计算机软件
2025届数据开发实习生,100-150/天,西安·雁塔·电子城,无经验,本科,天源迪科,数据库开发,民营,1000-9999人,计算机软件
python爬虫/数据分析工程师工程师,6千-9千,西安·雁塔·杜城,经验不限,本科,西安正麦科技有限公司,"Python, Java",SQL,20人以下,计算机软件
金融数据分析师,6千-9千,西安·雁塔·丈八沟,经验不限,大专,西安软玥信息技术有限公司,,民营,20-99人,计算机软件
BI工程师,5千-1万,西安·未央·张家堡,1-3年,本科,西安观大数据科技有限公司,"报表开发, Oracle, Kettle",FineBI,20-99人,计算机软件
数据开发,1.5万-3万,西安·雁塔·小寨路,无经验,本科,科锐尔人力资源服务(苏州)有限公司,,上市公司,1000-9999人,咨询服务
鸿蒙数据挖掘工程师,6千-8千,西安·雁塔·丈八沟,无经验,大专,西安软玥信息技术有限公司,"机器学习, 预测分析, 集成算法, 深度学习, 分类算法, , , , , , ",民营,20-99人,计算机软件
数据分析师,9千-1.4万,西安·雁塔·鱼化寨,3-5年,本科,软通动力信息技术(集团)股份有限公司,"BI工具, FineBI, 数据挖掘",民营,10000人以上,互联网
数据治理顾问,1.5万-3万,西安·雁塔·丈八沟,5-10年,本科,北京三维天地科技股份有限公司,"数据治理, 数据建模, 数据仓库, DMAM, 数据资产管理, 数仓",股份制企业,1000-9999人,计算机软件
全国均有岗位（开发、测试、算法、数据分析等）,1.5万-3万·16薪,西安·雁塔,经验不限,本科,外企德科数字技术有限公司,"JavaScript, C++, Python, Spring, Hibernate, MySQL, , ",合资,10000人以上,人力资源服务
数据分析,7千-1.4万,西安·雁塔·鱼化寨,1-3年,本科,软通动力信息技术(集团)股份有限公司,Sql,民营,10000人以上,互联网
爬虫/数据分析工程师工程师,6千-9千,西安·雁塔·丈八沟,经验不限,本科,西安软玥信息技术有限公司,"机器学习, 深度学习, 分类算法, 回归算法, 聚类算法, 关联分析, , , , , ",民营,20-99人,计算机软件
数据治理工程师,1万-1.5万,西安·雁塔·丈八沟,3-5年,本科,绛门科技,Hadoop,上市公司,1000-9999人,计算机软件
数据挖掘工程师,6千-9千,西安·雁塔·杜城,经验不限,大专,西安正麦科技有限公司,机器学习,MySQL,20人以下,计算机软件
数据分析师,8千-1万,西安·雁塔·丈八沟,经验不限,大专,西安软玥信息技术有限公司,"数据治理, 数据挖掘, 报表开发, Python",民营,20-99人,计算机软件
数据建模,1万-1.5万,西安·莲湖·北院门,3-5年,本科,箴言科技(陕西)有限责任公司,数据建模,民营,500-999人,IT服务
数据治理工程师,8千-1.3万,西安·雁塔·丈八沟,3-5年,本科,北京宇天恒瑞科技发展有限公司,"数据治理, Hadoop, HBase, Spark, 数据分析",民营,300-499人,计算机软件
产品经理（数据治理方向）,2万-3万,西安·雁塔,5-10年,本科,福建大道成物流科技有限公司,"SQL, TO B, Python, R, 墨刀, PMP",民营,500-999人,互联网
ETL工程师,1.1万-1.4万,西安·雁塔·曲江,3-5年,本科,中电金信软件有限公司,"Oracle, MySQL, 数据开发, 数仓开发",国企,10000人以上,计算机软件
ETL工程师,1.2万-1.6万,西安·雁塔·曲江,3-5年,本科,中科软科技股份有限公司,"Kettle, Informatica, DataX, SQL, Java, 监管报送, EAST, , , , ",股份制企业,1000-9999人,计算机软件
数据分析工程师,9千-1.6万,西安·雁塔,3-5年,本科,北京华成智云软件股份有限公司,"Python, Java, Sql, 数据仓库, 数据治理",股份制企业,20-99人,人工智能
数据治理工程师,8千-1.3万,西安·雁塔,3-5年,大专,软通动力信息技术(集团)股份有限公司,"数据治理, 中国移动经验",民营,10000人以上,互联网
BI报表开发工程师,8千-1.2万,西安·未央·张家堡,1-3年,大专,北京驰纳天华科技有限公司,"报表开发, 数据挖掘, Kettle, MySQL, Oracle, 数据清洗, , ",民营,20-99人,计算机软件
数据模型工程师,1.4万-2万,西安·雁塔·鱼化寨,3-5年,本科,深圳智蛋科技有限公司,Python,民营,100-299人,互联网
数据挖掘工程师,1万-1.5万,西安·未央·建章路,1-3年,硕士,陕西同力重工股份有限公司,"机器学习, Java, Python, 深度学习",股份制企业,500-999人,汽车研发/制造
大数据开发分析工程师,1万-2万·13薪,长春·南关,经验不限,本科,恩梯梯数据(中国)信息技术有限公司,"数据挖掘, Python, Java, Hadoop, Spark, Oracle, , ",合资,1000-9999人,计算机软件
数据业务员,5千-1万,长春·南关·新春,经验不限,学历不限,长春市云研商贸有限公司,五险,周末双休,20-99人,零售/批发
AI数据标注,4千-6千,长春,经验不限,大专,吉林省抛物线信息技术有限公司,"图像标注, 语音标注",文本标注,20-99人,人工智能
大数据开发工程师,1.1万-1.3万,长春·南关·明珠,3-5年,本科,吉林省润汉网络科技有限公司,数据治理,数据架构,20人以下,人工智能
大数据开发工程师,9千-1.2万,长春·南关,3-5年,本科,吉林省融朗合创信息服务有限公司,"数据挖掘, 数据治理",民营,20-99人,计算机软件
供应链储备干部-本硕均设岗位-500强企业,1万-1.5万,长春·宽城·凯旋,经验不限,硕士,千喜鹤,"部长、主席, 物流 供应链 供应商, 采购 大数据",民营,10000人以上,餐饮服务
渠道开发,2万-4万元/月,长春·南关·临河,经验不限,学历不限,辽宁极大科技有限公司,面销/陌拜,股份制企业,20人以下,专业技术服务
数据业务支持专员,5千-1万,长春·宽城,1-3年,大专,长春市玖亿鑫城商贸有限公司,,民营,20-99人,电子商务
数据工程师助理,6千-1.2万,长春·南关·全安,经验不限,大专,吉林省十壹匠人数字化运营中心(个人独资),,不限,20-99人,云计算/大数据
人工智能数据标注,5千-6千,长春·南关,无经验,大专,吉林省抛物线信息技术有限公司,"图像标注, 语音标注, 音频标注",文本标注,20-99人,人工智能
数据策略专员,4千-6千,长春·南关·明珠,1-3年,大专,吉林省万联房地产经纪有限公司,"运营数据分析, 销售数据分析",民营,100-299人,房地产中介
数据分析师,6千-8千,长春·朝阳·硅谷,经验不限,本科,吉林省亚航航梦商务服务有限公司,20人以下,咨询服务,20人以下,咨询服务
对日JAVA软件开发(初中级),6千-1.2万·13薪,长春·朝阳·硅谷,1-3年,学历不限,上海达巴辛软件有限公司,"Java, 数据库, SQL, Spring, 日语",民营,20-99人,计算机软件
营销服务员（直播数据管理）,6千-8千,长春·绿园·东风,3-5年,本科,一汽富华生态有限公司,直播数据分析,线索管理,300-499人,汽车4S店/经销商
中文数据资源实习生,80-100/天,长春·朝阳·南湖,无经验,本科,科大讯飞,"文本标注, 数据构建, 数据管理",股份制企业,1000-9999人,计算机软件
数据统计分析,4千-5千,长春·南关·曙光,1-3年,大专,北京玖红科技有限公司,数据统计,民营,100-299人,互联网
数据库运维工程师,8千-1.2万,长春·南关·全安,经验不限,本科,吉林省十壹匠人数字化运营中心(个人独资),,不限,20-99人,云计算/大数据
数据分析员,6千-8千,长春·南关·新春,1-3年,大专,吉林省百卓口腔医院有限公司,运营数据分析,医院,100-299人,医院
实习生,2千-3千,长春·南关·明珠,无经验,大专,吉林省朗创科技有限公司,Sql,民营,100-299人,计算机软件
开发工程师,5千-1万,长春·临河,经验不限,本科,东华医为科技有限公司,"SQL, HTML, AJAX, Javascript, MySQL数据库, jQuery",民营,1000-9999人,IT服务
数据管理岗,7千-1.2万,长春·南关·明珠,1-3年,本科,牧原股份,"经营数据分析, 财务数据分析, 行业数据分析, 现场管理, , ",上市公司,10000人以上,农/林/牧/渔
后端工程师,5千-8千,长春·朝阳·红旗,1-3年,学历不限,吉林省九门状元科技信息集团有限公司,"Python, C++",民营,20-99人,培训/辅导服务
业务运营岗,8千-1.3万·15薪,长春·南关·明珠,3-5年,本科,吉林亿联银行,,股份制企业,300-499人,银行
市场专员（业务数据分析）,1万-1.5万,长春·朝阳·硅谷,1-3年,本科,长春英利汽车工业股份有限公司,"数据分析, 汽车零部件, 销售数据",外商独资,1000-9999人,金属制品业
数据经济人,6千-1万,长春·南关,1-3年,本科,吉林省融朗合创信息服务有限公司,政府客户,民营,20-99人,计算机软件
数据分析专员,7千-1万·13薪,长春·二道·长青,经验不限,大专,河北洋鸿环保科技有限公司,数据治理,民营,100-299人,环保
智能仓储物流工程师,6千-7千,长春·宽城·兴隆山,1-3年,本科,吉林省金仑机电设备集团有限公司,数仓开发,民营,300-499人,金属制品业
数据分析师,4千-6千,长春·南关·鸿城,3-5年,本科,吉林省凯悦物业管理有限公司,数据分析,民营,500-999人,物业管理
数据库工程师,8千-1.4万,长春·南关·全安,经验不限,本科,吉林省十壹匠人数字化运营中心(个人独资),,不限,20-99人,云计算/大数据
数据分析,4千-6千,长春·南关·永兴,1-3年,本科,长春王府井远洋商业投资有限公司,"数据分析, 统计学, 销售业务数据, CAD",国企,100-299人,纺织业/服饰产品加工制造
数据分析师,5千-7千,长春·南关·明珠,1-3年,大专,吉林省朗创科技有限公司,Sql,民营,100-299人,计算机软件
软件需求分析师（五险一金实缴+双休+餐补）,6千-8千,长春·朝阳·双德,1-3年,本科,吉林省吉科软信息技术有限公司,"G端项目和B端项目, Axure, Visio, Xmind, 墨刀, 蓝湖, , ",民营,300-499人,IT服务
数据库运维工程师（Oracle数据库方向）,4千-8千,长春·南关,经验不限,大专,长春市汇丰达成网络资讯有限责任公司,"Linux, Python, Oracle, Zabbix, Openstack, OCP, OCM",民营,100-299人,IT服务
大数据教师,3千-5千,长春·宽城·兰家,无经验,本科,吉林城市职业技术学院,线下授课,民营,500-999人,学校/学历教育
数据标注师,3千-4千·13薪,长春·朝阳·双德,1-3年,大专,达仁科技有限公司,,民营,20-99人,计算机软件
软件开发工程师（应届生）,5千-7千·13薪,长春·南关,经验不限,本科,恩梯梯数据(中国)信息技术有限公司,"后端开发, 移动开发, Hadoop, Java, 全栈开发, WEB开发, , ",合资,1000-9999人,计算机软件
数据开发,1.1万-1.5万,长春·南关,1-3年,大专,上海邱咚网络科技有限公司,"Sql, 数据治理",数据库开发,20人以下,电子商务
DB2,1.7万-2.2万·13薪,长春·南关,10年以上,大专,同方鼎欣科技股份有限公司,"AIX, DB2",股份制企业,1000-9999人,IT服务
Java/Python/C++/C/前端/测试工程师全国,1.6万-3万·14薪,长春·南关,经验不限,本科,外企德科数字技术有限公司,"Java, Python, C语言, 嵌入式开发, Web开发",合资,10000人以上,人力资源服务
系统开发实习生,2千-3千,长春·二道,经验不限,本科,中农阳光数据,"Linux, Java, 数据库, Spring",民营,100-299人,计算机软件
【25届秋招】项目经理,1万-1.5万·13薪,长春·朝阳·双德,经验不限,硕士,思特奇,"PMP, AI项目",上市公司,1000-9999人,运营商/增值服务
数据分析师,7千-1万,长春·二道·远达,3-5年,本科,北京棒佳政网络科技有限公司,"数据治理, 数据仓库, 数据建模, Sql, Python, R语言",民营,500-999人,家政服务
数据挖掘工程师（DX1lcj)(J10786),1万-1.5万,长春·南关·临河,1-3年,本科,东方国信,,上市公司,1000-9999人,计算机软件
gis数据处理工程师,6千-1万·13薪,长春·二道·远达,3-5年,大专,北京华源龙泰房地产土地资产评估有限公司,"GIS数据处理, ArcGIS",民营,300-499人,房地产开发
软件需求分析师,7千-8千,长春·朝阳·双德,1-3年,本科,品尚信息科技(吉林省)有限责任公司,"Java, Axure, Visio",民营,20-99人,计算机软件
平台数据运维岗位,5千-8千,长春·南关·鸿城,3-5年,大专,长春市汇丰达成网络资讯有限责任公司,"数据库运维, 云运维, Python, 网络运维",民营,100-299人,IT服务
运营数据分析专员,5千-6千,长春·南关·明珠,3-5年,大专,吉林省万联房地产经纪有限公司,"Sql, Python, 数据挖掘, 数据建模",民营,100-299人,房地产中介
数据分析专员,3千-4千,长春·宽城·兰家,1-3年,中专/中技,吉林省新鸿业冷链物流有限公司,"BI工具, 数据建模",民营,100-299人,货运/物流/仓储
数据开发工程师（长春）,8千-9千,长春·南关·临河,3-5年,本科,京北方,Kettle,民营,10000人以上,IT服务
ETL工程师,1万-1.3万,长春·朝阳·双德,经验不限,本科,科锐尔人力资源服务(苏州)有限公司,"DataX, Hadoop, Java, Python, Scala, 数据开发, ",上市公司,1000-9999人,咨询服务
数据分析师,6千-1万,长春·明珠,1-3年,本科,吉林华翰云数据分析有限公司,Python,民营,20-99人,计算机软件
无人机数据工程师-YG,6千-9千,长春·二道,经验不限,本科,中农阳光数据,"无人机数据处理, 民营, 100-299人",计算机软件,无人机数据处理,计算机软件
数据专家,7千-1万,长春·南关·幸福,5-10年,本科,吉林省八珍王食品有限公司,"数据治理, 数据建模",民营,1000-9999人,零售/批发
ETL工程师,1万-1.3万,长春·朝阳·双德,3-5年,本科,科锐尔人力资源服务(苏州)有限公司,"Java, SQL, Kettle, DataX, MySQL, Redis, Hadoop, , , ",上市公司,1000-9999人,咨询服务
对日JAVA软件开发(中高级SE),1.2万-2万·13薪,长春·朝阳·硅谷,3-5年,学历不限,上海达巴辛软件有限公司,"Java, 数据库, Spring, SQL, 日语",民营,20-99人,计算机软件
etl数据开发工程师-长春,1万-1.5万,长春·南关·临河,3-5年,本科,厦门至恒融兴信息技术股份有限公司福州分公司,"ETL, Shell, DB2, MySQL, SQL",Oracle,100-299人,计算机软件
过程控制员,9千-1.2万,长春·绿园·富民,3-5年,本科,某知名企业,,港澳台公司,500-999人,互联网
对日软件开发工程师（PG/se）,7千-1.3万·13薪,长春·南关·曙光,3-5年,大专,恩梯梯数据(中国)信息技术有限公司,"后端开发, Java, MySQL, Oracle, MVC模式, SpringMVC, , ",合资,1000-9999人,计算机软件
服务器端软件工程师,7千-1万,长春·宽城·奋进,1-3年,本科,吉林亮中科技有限公司,"大数据开发, 服务器开发, MySQL",民营,20人以下,通信/网络设备
